#SampleID	ERR695598	ERR695599	ERR695600	ERR695601	ERR695602	ERR695603	ERR695604	ERR695605	ERR695606	ERR695607	ERR695608	ERR695609	ERR695610	ERR695611	ERR695612	ERR695613	ERR695614	ERR695615	ERR695616	ERR695617	ERR695618	ERR695619	ERR695620	ERR695621	ERR695622	ERR695623	ERR695624	ERR695625	ERR695626	ERR695627	ERR695628	ERR695629	ERR695630	ERR695631	ERR695632	ERR695633	ERR695634	ERR695635	ERR695636	ERR695637
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Coriobacterium;s__	0	0	1	0	0	0	5	3	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	1
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella;s__lenta	0	0	0	0	0	2	3	0	0	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	37	20	1	0	0	1	2	1	0	1	4	4	2	2
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Enterococcus;s__casseliflavus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Slackia;s__	0	1	2	2	1	2	8	12	6	2	8	7	0	0	5	9	6	0	4	4	0	0	0	1	0	1	2	3	0	0	58	61	9	16	20	13	0	0	6	10
Root;k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales;f__Euzebyaceae;g__Euzebya;s__	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Root;k__Bacteria;p__Actinobacteria;c__OPB41;o__;f__;g__;s__	1	0	1	2	2	1	1	3	3	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	2	0	1	0	2	1	0	2	1	2	1	0	2
Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Conexibacteraceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Solirubrobacterales;f__Patulibacteraceae;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__BRC1;c__;o__;f__;g__;s__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Root;k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	39	59	44	41	56	58	30	22	55	68	78	61	1022	915	15	17	487	498	704	598	36	32	53	76	34	37	59	51	67	61	169	135	117	119	159	182	61	75	154	133
